id,question,answer
1,Что такое Rust?,"Rust — это системный язык программирования, ориентированный на безопасность памяти и конкурентность без сборщика мусора."
2,Чем Rust отличается от C++?,"Rust гарантирует безопасность памяти на уровне компилятора и предотвращает целый класс ошибок, тогда как C++ возлагает эту ответственность на программиста."
3,Нужен ли Rust сборщик мусора?,"Нет. Rust использует систему владения и заимствований, благодаря которым память автоматически освобождается при выходе переменных из области видимости."
4,Компилируется ли Rust в нативный код?,"Да, Rust компилируется в машинный код через LLVM, обеспечивая производительность, сравнимую с C и C++."
5,На каких платформах работает Rust?,"Rust поддерживает основные настольные, серверные, мобильные и встраиваемые платформы — Windows, Linux, macOS, WebAssembly и многие другие."
6,Сложно ли учить Rust?,"Порог входа выше, чем у динамических языков, из‑за строгого компилятора, но гарантии безопасности окупают время обучения."
7,Где используется Rust?,"Rust применяют в Mozilla, Microsoft, AWS, Dropbox, Huawei и во множестве стартапов для системного софта, криптографии, веб‑backend и IoT."
8,Есть ли у Rust экосистема пакетов?,"Да, менеджер пакетов Cargo и репозиторий crates.io предоставляют десятки тысяч библиотек."
9,Можно ли писать GUI‑приложения на Rust?,"Да, существуют обёртки над GTK, Qt, а также кроссплатформенные фреймворки вроде Tauri и Druid."
10,Совместим ли Rust с C?,"Rust может вызывать C‑функции и экспортировать интерфейсы, совместимые с C, что упрощает интеграцию со старым кодом."
